Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1989,16.735,19.495,23.577,27.495,30.493,28.56,27.036,26.333,26.362,24.874,21.406,17.582
1990,18.557,20.005,22.989,27.58,29.199,28.837,26.53,26.508,26.164,24.005,21.602,18.162
1991,16.987,20.454,24.437,27.351,30.459,29.034,27.572,26.29,26.508,24.381,20.628,17.64
1992,17.102,18.975,24.228,27.746,29.694,29.914,27.43,26.256,26.041,24.423,21.091,17.775
1993,17.481,20.357,23.076,27.607,30.554,29.499,27.289,26.911,26,24.869,21.416,17.845
1994,18.15,19.451,25.081,27.096,30.833,29.13,26.566,26.25,26.066,24.338,21.033,17.563
1995,16.241,19.761,23.476,27.539,30.265,30.65,27.307,26.712,26.558,25.071,21.247,18.33
1996,17.819,20.237,25.032,27.803,30.506,29.185,27.31,26.11,26.435,24.263,21.013,17.53
1997,16.666,19.247,24.18,26.243,29.47,29.067,27.504,26.696,26.428,23.828,21.638,17.601
1998,17.511,20.157,23.313,28.3,31.176,30.215,27.538,27.17,26.66,25.228,21.843,17.954
1999,16.96,21.05,25.097,29.196,29.934,28.786,27.293,26.603,26.463,24.802,21.71,18.024
2000,17.84,19.071,23.674,28.868,30.089,28.511,26.98,26.821,26.505,25.583,21.986,18.048
2001,17.295,20.757,24.401,27.661,30.374,28.053,26.891,26.762,27.119,25.196,22.027,18.447
2002,17.419,20.311,24.871,28.667,30.9,29.433,28.487,26.62,26.38,25.321,21.636,18.911
2003,17.245,20.643,24.162,28.592,30.614,30.118,27.186,26.742,26.248,24.652,21.573,18.024
2004,17.223,20.225,26.019,28.688,30.045,28.71,27.473,26.552,26.79,24.026,21.411,18.453
2005,17.45,20.309,24.805,27.714,30.042,30.404,27.013,26.896,26.497,24.547,20.759,17.509
2006,17.759,22.077,23.93,27.882,30.238,29.049,27.344,26.483,26.588,25.247,21.739,18.449
2007,17.785,20.235,24.074,28.719,30.524,29.282,27.362,26.917,26.498,24.696,21.55,18.157
2008,17.248,18.853,24.873,27.822,30.079,28.033,27.152,26.407,26.382,25.083,21.696,19.244
2009,18.661,21.516,25.083,28.665,30.493,30.409,27.611,27.379,27.08,24.775,21.457,18.631
2010,17.109,20.764,26.373,29.814,31.169,29.908,27.433,26.892,26.296,25.193,22.204,17.455
2011,16.478,20.07,24.595,27.273,30.421,28.871,27.209,26.533,26.321,25.061,21.982,18.173
2012,16.778,19.791,24.354,28.067,30.805,30.536,27.699,26.735,26.551,24.59,21.162,18.622
2013,17.16,20.243,24.575,27.981,31.014,28.766,27.012,26.555,,,,
